Research Domain,Measurement (Plain English),Variable Pattern,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16
Total Pool,Total People Interviewed,hhidpn,"45,234","45,234","45,234","45,234","45,234","45,234","45,234","45,234","45,234","45,234","45,234","45,234","45,234","45,234","45,234","45,234"
Chronic Health Conditions,High Blood Pressure (Doctor Diagnosed),r*hibpe,"12,652","19,642","17,991","21,384","19,578","18,165","20,129","18,469","17,217","22,034","20,554","18,747","20,912","17,146","15,723","15,856"
Chronic Health Conditions,High Blood Pressure (Diagnosed or Meds),r*hibpe2,"12,652","19,642","17,991","21,384","19,578","18,165","20,129","18,469","17,217","22,034","20,554","18,747","20,912","17,146","15,723","15,856"
Chronic Health Conditions,Diabetes (Doctor Diagnosed),r*diabe,"12,652","19,642","17,991","21,384","19,578","18,165","20,129","18,469","17,217","22,034","20,554","18,747","20,912","17,146","15,723","15,856"
Chronic Health Conditions,Diabetes (Diagnosed or Insulin/Pills),r*diabe2,"12,652","19,642","17,991","21,384","19,578","18,165","20,129","18,469","17,217","22,034","20,554","18,747","20,912","17,146","15,723","15,856"
Chronic Health Conditions,Heart Disease or Heart Attack,r*hearte,"12,652","19,642","17,991","21,384","19,578","18,165","20,129","18,469","17,217","22,034","20,554","18,747","20,912","17,146","15,723","15,856"
Chronic Health Conditions,Stroke (Doctor Diagnosed),r*stroke,"12,652","19,642","17,991","21,384","19,578","18,165","20,129","18,469","17,217","22,034","20,554","18,747","20,912","17,146","15,723","15,856"
Chronic Health Conditions,Cancer (Any type except skin),r*cancre,"12,652","19,642","17,991","21,384","19,578","18,165","20,129","18,469","17,217","22,034","20,554","18,747","20,912","17,146","15,723","15,856"
Chronic Health Conditions,Chronic Lung Disease (COPD/Asthma),r*lunge,"12,652","19,642","17,991","21,384","19,578","18,165","20,129","18,469","17,217","22,034","20,554","18,747","20,912","17,146","15,723","15,856"
Chronic Health Conditions,Arthritis or Rheumatism,r*arthre,"12,652","19,642","17,991","21,384","19,578","18,165","20,129","18,469","17,217","22,034","20,554","18,747","20,912","17,146","15,723","15,856"
